title,brand,category,actual_price,discount_price,rating,rating_count
Smart Fitness Watch,Dell,Laptop,69890,65271,2.6,2128
Laptop with SSD Storage,LG,Smartwatch,66771,63977,2.5,9118
High Resolution Monitor,Mi,Headphones,43598,39679,1.9,2517
4K Action Camera,HP,Camera,63408,58877,3.7,17533
Smart Fitness Watch,Samsung,Monitor,49224,45017,4.9,14228
Gaming Laptop,Mi,Smartwatch,17009,12349,1.7,14179
Smartphone with AMOLED Display,OnePlus,Laptop,10026,5451,3.4,18262
Smart Fitness Watch,Sony,Laptop,61124,56399,2.7,9675
High Resolution Monitor,Boat,Monitor,40842,39232,2.8,309
4K Action Camera,Dell,Speaker,20545,16733,2,3952
Laptop with SSD Storage,LG,Tablet,35053,33839,4.3,19433
High Resolution Monitor,Dell,Headphones,21616,18844,2.9,13871
High Resolution Monitor,Mi,Laptop,16260,13852,3.2,9692
Smartphone with AMOLED Display,Boat,Smartphone,31091,30571,2.2,15
Portable Bluetooth Speaker,OnePlus,Camera,25516,24050,1.7,16989
4K Action Camera,JBL,Smartwatch,32767,31249,1.3,16005
Noise Cancelling Earbuds,Samsung,Speaker,64727,63869,3.9,14278
High Resolution Monitor,Boat,Tablet,62347,62126,1.8,14817
Portable Bluetooth Speaker,Sony,Monitor,73590,69414,3.8,9759
Noise Cancelling Earbuds,HP,Camera,47314,43122,2.6,15664
4K Action Camera,OnePlus,Headphones,4378,103,2.7,6412
Wireless Bluetooth Headphones,Samsung,Speaker,78689,76240,2.9,10196
Gaming Laptop,LG,Tablet,50819,49124,2.5,8507
Portable Bluetooth Speaker,HP,Smartwatch,4342,4235,1.4,4820
Android Tablet,Mi,Smartwatch,49352,48173,2.2,7835
Wireless Bluetooth Headphones,Boat,Monitor,14689,13286,3.7,1849
Gaming Laptop,Samsung,Smartphone,68411,67594,3.7,13587
Smartphone with AMOLED Display,Apple,Monitor,51033,47088,2.1,1953
Smart Fitness Watch,JBL,Headphones,35054,34322,2.8,19153
Laptop with SSD Storage,JBL,Speaker,18924,15420,1.8,12731
Android Tablet,OnePlus,Speaker,26981,24923,1.8,19430
Smartphone with AMOLED Display,LG,Laptop,25004,21812,1.1,6840
4K Action Camera,OnePlus,Smartphone,7793,5953,4.6,5066
Smartphone with AMOLED Display,Apple,Smartphone,69939,68412,1.8,2415
Smart Fitness Watch,Sony,Speaker,54683,53748,1.9,2389
4K Action Camera,LG,Speaker,3294,2305.8,2.1,16211
Android Tablet,Dell,Camera,69580,65038,1.5,763
Smart Fitness Watch,Sony,Tablet,47534,45946,3.6,17199
Noise Cancelling Earbuds,LG,Camera,47591,45468,1.3,6255
Laptop with SSD Storage,LG,Camera,5894,5532,1.5,17261
Android Tablet,Apple,Smartphone,7671,6811,3.6,7173
Noise Cancelling Earbuds,Mi,Laptop,47615,45330,2.4,10518
Gaming Laptop,Apple,Smartwatch,79826,76919,3.8,10252
Android Tablet,LG,Camera,16926,14113,3.2,12447
Gaming Laptop,Samsung,Laptop,7430,5348,2,15089
4K Action Camera,Sony,Monitor,7128,5571,3.6,9395
Noise Cancelling Earbuds,Apple,Headphones,57814,53219,1.5,12067
Laptop with SSD Storage,Mi,Camera,52964,50344,3.1,19207
Smart Fitness Watch,Boat,Monitor,18183,16239,2.7,5287
High Resolution Monitor,OnePlus,Smartwatch,43359,40604,2.1,19669
Smartphone with AMOLED Display,LG,Headphones,43232,42586,3.4,13461
Wireless Bluetooth Headphones,Dell,Headphones,61569,59372,4.5,13402
Laptop with SSD Storage,Boat,Smartwatch,76286,75621,5,7433
Noise Cancelling Earbuds,JBL,Camera,2335,1338,3.4,11284
High Resolution Monitor,HP,Smartphone,41045,36344,2.6,4826
Laptop with SSD Storage,Mi,Smartwatch,17541,13118,1.9,3664
Noise Cancelling Earbuds,Dell,Smartwatch,53275,49461,2,10528
Portable Bluetooth Speaker,HP,Smartwatch,23454,21391,2.9,497
Portable Bluetooth Speaker,Mi,Headphones,25925,22178,2.5,7641
Gaming Laptop,Samsung,Tablet,45250,44710,4.7,4643
Laptop with SSD Storage,OnePlus,Laptop,56696,52296,2.5,5056
Portable Bluetooth Speaker,Boat,Monitor,13631,11153,2.5,131
Noise Cancelling Earbuds,Sony,Smartphone,64227,63636,2.5,5443
Gaming Laptop,Mi,Camera,63314,61977,4.3,17241
Noise Cancelling Earbuds,Sony,Camera,39646,37963,3.6,13443
Gaming Laptop,OnePlus,Monitor,70711,65741,3.5,8712
Laptop with SSD Storage,LG,Laptop,54778,51802,2.3,8221
High Resolution Monitor,JBL,Smartwatch,12554,11152,4.3,15660
Smart Fitness Watch,Boat,Tablet,56034,51608,1.2,6147
Android Tablet,OnePlus,Smartphone,28921,27573,4.5,11588
High Resolution Monitor,OnePlus,Camera,76741,71823,3.1,4604
4K Action Camera,Samsung,Monitor,46421,42404,2.6,9452
Noise Cancelling Earbuds,HP,Speaker,60497,56024,3,17942
4K Action Camera,JBL,Tablet,42731,40423,3.7,16399
High Resolution Monitor,Boat,Monitor,5137,440,1.1,3605
Gaming Laptop,LG,Tablet,71532,69409,4.5,13284
Android Tablet,LG,Camera,49294,48543,2.8,1607
Android Tablet,Apple,Smartwatch,79379,77410,2.4,11709
Wireless Bluetooth Headphones,OnePlus,Speaker,12915,10405,1.6,2016
Android Tablet,Mi,Laptop,1766,1236.2,2.8,3574
Smart Fitness Watch,Samsung,Smartphone,31071,26757,3,13541
Android Tablet,JBL,Laptop,66211,61837,2.6,7274
High Resolution Monitor,LG,Laptop,21046,20630,3.7,9935
Wireless Bluetooth Headphones,Boat,Monitor,61039,60462,2.7,15748
High Resolution Monitor,Apple,Tablet,73669,68733,4.8,6406
High Resolution Monitor,Boat,Smartphone,2193,1535.1,3.4,11826
Smartphone with AMOLED Display,Samsung,Smartphone,30873,27214,4.2,17472
Wireless Bluetooth Headphones,Mi,Camera,41174,37189,1.4,1361
High Resolution Monitor,Apple,Camera,77662,72993,2.6,4473
Smartphone with AMOLED Display,Apple,Smartphone,33667,31464,2.3,7319
Smartphone with AMOLED Display,HP,Speaker,21499,19541,3.3,8667
Wireless Bluetooth Headphones,JBL,Headphones,74628,71566,4.4,9481
4K Action Camera,Apple,Camera,58024,53746,1.3,8520
Gaming Laptop,HP,Headphones,36705,33633,1.3,17570
Smart Fitness Watch,HP,Monitor,16289,12756,4.4,19798
Gaming Laptop,Samsung,Speaker,29231,26461,1.9,3536
Android Tablet,Sony,Smartphone,9590,7770,3.7,1773
Smart Fitness Watch,Boat,Speaker,38667,34504,3.2,10255
Android Tablet,Mi,Camera,79781,77954,4.3,2558
High Resolution Monitor,Dell,Laptop,76598,72336,1.5,5079
Noise Cancelling Earbuds,Boat,Monitor,30433,29586,1.5,14341
Wireless Bluetooth Headphones,Apple,Smartphone,27352,24087,3.2,19675
Smart Fitness Watch,Mi,Smartwatch,40775,36937,4.8,9981
Smart Fitness Watch,LG,Monitor,57956,54930,2.7,3524
High Resolution Monitor,Sony,Tablet,4933,1146,2.3,19888
4K Action Camera,LG,Headphones,17604,15843,3.4,8998
Smartphone with AMOLED Display,LG,Speaker,46846,46044,4.7,13697
High Resolution Monitor,JBL,Smartphone,7308,4789,4.3,19050
Portable Bluetooth Speaker,Boat,Monitor,48591,44572,5,13606
Smartphone with AMOLED Display,Dell,Speaker,27705,26263,1.1,13429
Wireless Bluetooth Headphones,Samsung,Smartphone,36686,34031,1.5,16039
Smartphone with AMOLED Display,Dell,Camera,21127,20400,3.4,7140
4K Action Camera,LG,Monitor,33340,33185,4.3,8785
Smartphone with AMOLED Display,Apple,Camera,60654,57317,2.1,14901
Wireless Bluetooth Headphones,Sony,Monitor,78843,74040,2,3280
4K Action Camera,OnePlus,Camera,18457,16461,4.1,2212
Gaming Laptop,Dell,Tablet,35615,34470,1.2,15213
Smart Fitness Watch,LG,Speaker,36232,34400,2.5,8078
Smart Fitness Watch,Sony,Smartwatch,21464,16873,3,15936
Android Tablet,Mi,Monitor,14714,11407,3.2,16997
Gaming Laptop,Boat,Tablet,14627,12580,3.9,14274
Gaming Laptop,HP,Monitor,1246,872.2,2.4,868
Smartphone with AMOLED Display,JBL,Camera,14993,13382,3.5,17195
Smart Fitness Watch,Sony,Smartphone,27541,23485,3.3,16042
Wireless Bluetooth Headphones,Apple,Monitor,15840,14115,3.2,15407
Laptop with SSD Storage,Apple,Tablet,72555,71383,3.6,16254
Laptop with SSD Storage,Sony,Camera,65057,61026,2,1744
4K Action Camera,Apple,Laptop,41503,40152,1.3,2256
Smart Fitness Watch,Boat,Camera,25381,24388,1.5,11859
Smart Fitness Watch,Apple,Speaker,62161,57561,1.9,5423
Laptop with SSD Storage,Dell,Smartwatch,11650,10655,3,5089
Smart Fitness Watch,HP,Laptop,55812,55162,4.4,6608
Smartphone with AMOLED Display,Apple,Speaker,57109,54359,3.8,9717
Portable Bluetooth Speaker,HP,Speaker,43132,38262,4.2,17853
Noise Cancelling Earbuds,LG,Speaker,28669,27202,2.4,19059
Gaming Laptop,Samsung,Smartphone,32028,30454,2.6,17897
Android Tablet,Boat,Speaker,17876,14060,2.6,4876
4K Action Camera,Samsung,Smartphone,29301,29001,1.8,17835
Portable Bluetooth Speaker,LG,Speaker,690,483,1.2,3007
Laptop with SSD Storage,Boat,Headphones,45736,45608,3.4,14325
Gaming Laptop,Sony,Tablet,11869,8696,5,3124
Smart Fitness Watch,Sony,Laptop,13329,12382,1.7,1753
Android Tablet,HP,Headphones,22790,17864,1.2,17996
Smart Fitness Watch,LG,Speaker,46175,45900,4.1,3275
Wireless Bluetooth Headphones,HP,Laptop,6167,4908,2,8747
Wireless Bluetooth Headphones,JBL,Laptop,9421,4473,4.3,12443
Android Tablet,Apple,Monitor,1839,1287.3,3.8,18433
Android Tablet,OnePlus,Smartwatch,17327,15099,4.8,824
Laptop with SSD Storage,JBL,Headphones,74529,71800,2.6,13880
Android Tablet,Apple,Smartwatch,9221,6286,3.6,11041
