Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status (Approved)
LP001002,1,No,0,Graduate,No,5849,0.0,128.0,8,1.0,2,Y
LP001003,1,Yes,1,Graduate,No,4583,1508.0,128.0,8,1.0,0,N
LP001005,1,Yes,0,Graduate,Yes,3000,0.0,66.0,8,1.0,2,Y
LP001006,1,Yes,0,Not Graduate,No,2583,2358.0,120.0,8,1.0,2,Y
LP001008,1,No,0,Graduate,No,6000,0.0,141.0,8,1.0,2,Y
LP001011,1,Yes,2,Graduate,Yes,5417,4196.0,267.0,8,1.0,2,Y
LP001013,1,Yes,0,Not Graduate,No,2333,1516.0,95.0,8,1.0,2,Y
LP001014,1,Yes,3+,Graduate,No,3036,2504.0,158.0,8,0.0,1,N
LP001018,1,Yes,2,Graduate,No,4006,1526.0,168.0,8,1.0,2,Y
LP001020,1,Yes,1,Graduate,No,12841,10968.0,349.0,8,1.0,1,N
LP001024,1,Yes,2,Graduate,No,3200,700.0,70.0,8,1.0,2,Y
LP001027,1,Yes,2,Graduate,No,2500,1840.0,109.0,8,1.0,2,Y
LP001028,1,Yes,2,Graduate,No,3073,8106.0,200.0,8,1.0,2,Y
LP001029,1,No,0,Graduate,No,1853,2840.0,114.0,8,1.0,0,N
LP001030,1,Yes,2,Graduate,No,1299,1086.0,17.0,4,1.0,2,Y
LP001032,1,No,0,Graduate,No,4950,0.0,125.0,8,1.0,2,Y
LP001034,1,No,1,Not Graduate,No,3596,0.0,100.0,6,1.0,2,Y
LP001036,0,No,0,Graduate,No,3510,0.0,76.0,8,0.0,2,N
LP001038,1,Yes,0,Not Graduate,No,4887,0.0,133.0,8,1.0,0,N
LP001041,1,Yes,0,Graduate,No,2600,3500.0,115.0,8,1.0,2,Y
LP001043,1,Yes,0,Not Graduate,No,7660,0.0,104.0,8,0.0,2,N
LP001046,1,Yes,1,Graduate,No,5955,5625.0,315.0,8,1.0,2,Y
LP001047,1,Yes,0,Not Graduate,No,2600,1911.0,116.0,8,0.0,1,N
LP001050,1,Yes,2,Not Graduate,No,3365,1917.0,112.0,8,0.0,0,N
LP001052,1,Yes,1,Graduate,No,3717,2925.0,151.0,8,1.0,1,N
LP001066,1,Yes,0,Graduate,Yes,9560,0.0,191.0,8,1.0,1,Y
